image,model,psnr,ssim,mae,mse,rmse,lpips
00778.png,RetinexTapetum,10.189603206786416,0.189995087217763,71.77069091796875,6224.72314453125,78.89691467054494,0.4251900613307953
00779.png,RetinexTapetum,14.902215768773921,0.426628193715704,42.33514404296875,2103.094482421875,45.85950809180006,0.2695825397968292
00780.png,RetinexTapetum,14.842523323441805,0.42124722386930175,42.614646911621094,2132.200439453125,46.17575597056452,0.275591641664505
00781.png,RetinexTapetum,10.598181626500885,0.38228273162623694,71.667236328125,5665.8125,75.27159158673344,0.2695271074771881
00782.png,RetinexTapetum,10.59424752085624,0.3911470767921428,71.81748962402344,5670.947265625,75.30569211968641,0.26284822821617126
00783.png,RetinexTapetum,10.596398566696827,0.3912248577275999,71.79315948486328,5668.13916015625,75.287045101772,0.2646012604236603
00784.png,RetinexTapetum,8.624661961284326,0.14083494820335107,88.47713470458984,8925.1220703125,94.47286420085135,0.5023345947265625
00785.png,RetinexTapetum,8.620476576488201,0.1390752943626244,88.498046875,8933.7275390625,94.51839788666807,0.5045267939567566
00786.png,RetinexTapetum,8.622214455858504,0.1411325421127999,88.5141830444336,8930.1533203125,94.49948846587742,0.5036126375198364
00787.png,RetinexTapetum,10.600794111128042,0.1066055243046818,71.47865295410156,5662.4052734375,75.24895529798071,0.6271073818206787
00788.png,RetinexTapetum,10.564028457509483,0.10278262494015315,71.74624633789062,5710.54443359375,75.56814430428837,0.6339236497879028
00789.png,RetinexTapetum,10.57022429972398,0.10370887048746928,71.6989974975586,5702.4033203125,75.51425905292655,0.6315134763717651
00690.png,RetinexTapetumRGB,10.004261836180095,0.3480803774823344,77.33716583251953,6496.1220703125,80.59852399586794,0.3401789367198944
00691.png,RetinexTapetumRGB,9.99418791277089,0.3322288526246097,77.31639099121094,6511.2080078125,80.69205665871021,0.3401726186275482
00692.png,RetinexTapetumRGB,9.175016593295155,0.2736911973593617,84.20213317871094,7862.82666015625,88.67258121965465,0.3401526212692261
00693.png,RetinexTapetumRGB,9.238075812795248,0.2853454856177555,83.51273345947266,7749.48388671875,88.03115293303132,0.3390340805053711
00694.png,RetinexTapetumRGB,8.742715709979375,0.29164580969372544,88.73029327392578,8685.779296875,93.19752838393838,0.35380256175994873
00695.png,RetinexTapetumRGB,8.739664497203764,0.2911244476743074,88.76205444335938,8691.8837890625,93.230272921742,0.35297825932502747
00696.png,RetinexTapetumRGB,9.042661487933199,0.1755918597142053,83.58182525634766,8106.14208984375,90.03411625513826,0.49289703369140625
00697.png,RetinexTapetumRGB,9.040094105516745,0.17310271321035356,83.58039093017578,8110.935546875,90.06073254684863,0.49226534366607666
00698.png,RetinexTapetumRGB,9.127220613765555,0.1749480567836005,85.17359924316406,7949.83837890625,89.16186616993977,0.6270825266838074
00699.png,RetinexTapetumRGB,9.13513734365136,0.1729324743597079,85.06812286376953,7935.35986328125,89.08063685942781,0.6347628831863403
00700.png,RetinexTapetumRGB,13.481633786935843,0.53961695448009,51.822689056396484,2916.869384765625,54.008049259028276,0.2321000099182129
00701.png,RetinexTapetumRGB,13.483308765832525,0.5452706969381699,51.87389373779297,2915.74462890625,53.997635401064095,0.22997070848941803
00702.png,RetinexTapetumRGB,6.676370542080927,0.21302022725032108,113.60369873046875,13977.9443359375,118.2283567336428,0.5638430118560791
00703.png,RetinexTapetumRGB,6.670722150109485,0.21224052114144684,113.67546844482422,13996.1357421875,118.3052650653702,0.5603275895118713
00704.png,RetinexTapetumRGB,6.648805014957707,0.2095422881000563,113.94319152832031,14066.947265625,118.60416209233553,0.5651607513427734
00705.png,RetinexTapetumRGB,6.9542445578397665,0.17465805630771855,110.73075866699219,13111.6064453125,114.50592318877003,0.6629842519760132
00706.png,RetinexTapetumRGB,6.98509998526569,0.18296859239015273,110.20092010498047,13018.7822265625,114.09987829337287,0.6679757237434387
00707.png,RetinexTapetumRGB,6.9501678907723985,0.17460127531037842,110.76275634765625,13123.919921875,114.55967842951986,0.6595010161399841
00708.png,RetinexTapetumRGB,11.013975843810561,0.3243678696664433,66.92440795898438,5148.5244140625,71.75321884112587,0.48512136936187744
00709.png,RetinexTapetumRGB,11.182918455563925,0.34071205077489575,65.71022033691406,4952.08984375,70.37108670292082,0.46564170718193054
00710.png,RetinexTapetumRGB,11.625778547048427,0.5597581517101696,65.13854217529297,4472.00732421875,66.87306875131983,0.3192339241504669
00711.png,RetinexTapetumRGB,11.605910478200375,0.5589585448177017,65.29154205322266,4492.5126953125,67.02620901790955,0.3185785412788391
00712.png,RetinexTapetumRGB,10.339923662916409,0.6319669135650332,76.41482543945312,6012.95556640625,77.54324965079971,0.280202716588974
00713.png,RetinexTapetumRGB,10.408759107415978,0.6355645107059885,75.8044662475586,5918.40185546875,76.9311500984403,0.27952057123184204
00714.png,RetinexTapetumRGB,12.691677221369957,0.4550288814880939,56.10951232910156,3498.747802734375,59.15021388578722,0.1826973855495453
00715.png,RetinexTapetumRGB,12.69153509408464,0.45511854404004665,56.23623275756836,3498.8623046875,59.15118176915403,0.17765438556671143
00716.png,RetinexTapetumRGB,13.053674212426852,0.6345822661673607,55.78150939941406,3218.9404296875,56.735706831654966,0.21245354413986206
00717.png,RetinexTapetumRGB,8.54251591106191,0.23195717348057623,92.39342498779297,9095.5458984375,95.37057144862612,0.6048045754432678
00718.png,RetinexTapetumRGB,17.407747141119838,0.7530489869293183,31.647174835205078,1181.151611328125,34.367886337802695,0.11688144505023956
00719.png,RetinexTapetumRGB,17.37948357865347,0.7550443856816217,31.793254852294922,1188.863525390625,34.47990031004476,0.11251859366893768
00720.png,RetinexTapetumRGB,13.363709056130492,0.42879266736791816,52.6204719543457,2997.15673828125,54.74629428811826,0.2606266438961029
00721.png,RetinexTapetumRGB,13.270619470618335,0.4153157808302809,53.307411193847656,3062.09326171875,55.33618401840472,0.2553757429122925
00722.png,RetinexTapetumRGB,17.618073591491967,0.747528191465329,32.69247055053711,1125.3121337890625,33.54567235559696,0.09573051333427429
00723.png,RetinexTapetumRGB,17.780093635684334,0.758414640268259,31.96979522705078,1084.1041259765625,32.92573652899146,0.09740385413169861
00724.png,RetinexTapetumRGB,16.18302754108065,0.5775769839628841,38.19578552246094,1565.948974609375,39.57207316542027,0.21251700818538666
00725.png,RetinexTapetumRGB,16.428658953924128,0.6100098818813886,37.224552154541016,1479.8389892578125,38.46867542894884,0.19672000408172607
